season,tier,hero_id,hero_name,role,subrole,winrate,pickrate,banrate,snapshot_date
S4,All,ana,Ana,SUPPORT,tactician,49,36.9,5.4,2026-09-03
S4,All,anran,Anran,DAMAGE,flanker,51.4,10.2,8.9,2026-09-03
S4,All,ashe,Ashe,DAMAGE,sharpshooter,50.8,10.4,0.3,2026-09-03
S4,All,baptiste,Baptiste,SUPPORT,tactician,44.8,5.5,0.1,2026-09-03
S4,All,bastion,Bastion,DAMAGE,specialist,48.3,10.1,1.9,2026-09-03
S4,All,brigitte,Brigitte,SUPPORT,survivor,48.2,4.1,0.2,2026-09-03
S4,All,cassidy,Cassidy,DAMAGE,sharpshooter,47.2,24.1,2.6,2026-09-03
S4,All,dmon,D.Mon,TANK,stalwart,53.3,11.6,9.8,2026-09-03
S4,All,dva,D.Va,TANK,initiator,45.8,5.5,3.6,2026-09-03
S4,All,domina,Domina,TANK,stalwart,50,3.4,1.2,2026-09-03
S4,All,doomfist,Doomfist,TANK,initiator,51,6.4,19.5,2026-09-03
S4,All,echo,Echo,DAMAGE,recon,49.3,4.5,0.5,2026-09-03
S4,All,emre,Emre,DAMAGE,specialist,49.2,7.7,0.1,2026-09-03
S4,All,freja,Freja,DAMAGE,recon,50.4,4.6,72.7,2026-09-03
S4,All,genji,Genji,DAMAGE,flanker,51.2,10.2,0.7,2026-09-03
S4,All,hanzo,Hanzo,DAMAGE,sharpshooter,49.4,4.3,0.2,2026-09-03
S4,All,hazard,Hazard,TANK,initiator,51.4,3.6,1.3,2026-09-03
S4,All,illari,Illari,SUPPORT,survivor,48.2,3.9,0.1,2026-09-03
S4,All,jetpack-cat,Jetpack Cat,SUPPORT,tactician,53.4,7.3,51.7,2026-09-03
S4,All,junker-queen,Junker Queen,TANK,stalwart,51.6,2.4,0.2,2026-09-03
S4,All,junkrat,Junkrat,DAMAGE,specialist,50.4,5.4,0.5,2026-09-03
S4,All,juno,Juno,SUPPORT,survivor,50.4,12.9,0.1,2026-09-03
S4,All,kiriko,Kiriko,SUPPORT,medic,48.6,57,1.3,2026-09-03
S4,All,lifeweaver,Lifeweaver,SUPPORT,medic,46.3,4.7,0.3,2026-09-03
S4,All,lucio,Lúcio,SUPPORT,tactician,48.1,4.2,0.2,2026-09-03
S4,All,mauga,Mauga,TANK,bruiser,47.4,6.3,18.3,2026-09-03
S4,All,mei,Mei,DAMAGE,specialist,50.9,8,4.3,2026-09-03
S4,All,mercy,Mercy,SUPPORT,medic,45,3.4,0.4,2026-09-03
S4,All,mizuki,Mizuki,SUPPORT,survivor,49.8,13.1,7.6,2026-09-03
S4,All,moira,Moira,SUPPORT,medic,50.9,24.2,2.7,2026-09-03
S4,All,orisa,Orisa,TANK,bruiser,46.4,12.2,10,2026-09-03
S4,All,pharah,Pharah,DAMAGE,recon,52.8,5.2,49.6,2026-09-03
S4,All,ramattra,Ramattra,TANK,stalwart,49.2,8.5,5.2,2026-09-03
S4,All,reaper,Reaper,DAMAGE,flanker,51.1,12.3,1.7,2026-09-03
S4,All,reinhardt,Reinhardt,TANK,stalwart,51,7.9,2.3,2026-09-03
S4,All,roadhog,Roadhog,TANK,bruiser,43.1,4.4,2.6,2026-09-03
S4,All,shion,Shion,DAMAGE,flanker,50.1,11.7,0.7,2026-09-03
S4,All,sierra,Sierra,DAMAGE,recon,48.5,11,1.9,2026-09-03
S4,All,sigma,Sigma,TANK,stalwart,52.3,13.5,5.7,2026-09-03
S4,All,sojourn,Sojourn,DAMAGE,sharpshooter,45.8,15.4,0.2,2026-09-03
S4,All,soldier-76,Soldier: 76,DAMAGE,specialist,49.4,12.2,0.2,2026-09-03
